Temps   Amplitude

0.0 0.0

0.0 5.690492070111335

1.84e-08 5.705733958046064

3.68e-08 5.7240545070780025

5.52e-08 5.7304799100947905

7.36e-08 5.740156792283639

9.2e-08 5.749286912304863

1.104e-07 5.773984759245559

1.288e-07 5.800508598390317

1.472e-07 5.829665513560791

1.656e-07 5.845168945377028

1.84e-07 5.853836348925379

2.024e-07 5.848563926298489

2.208e-07 5.8410187467598496

2.392e-07 5.828130060319519

2.576e-07 5.79717172421173

2.76e-07 5.731832167815104

2.944e-07 5.663823796694245

3.128e-07 5.608440068325595

3.312e-07 5.593093955942453

3.496e-07 5.612468262716503

3.68e-07 5.670643702438022

3.864e-07 5.725294752237652

4.048e-07 5.7619267610756735

4.232e-07 5.771221707749582

4.416e-07 5.760442691321562

4.6e-07 5.728786957114045

4.784e-07 5.683880716552731

4.968e-07 5.6378808075375275

5.152e-07 5.625699956449864

5.336e-07 5.639255269980247

5.52e-07 5.681566685343048

5.704e-07 5.705392186344424

5.888e-07 5.699096419608988

6.072e-07 5.66370020393029

6.256e-07 5.6275838509968015

6.44e-07 5.594229169420931

6.624e-07 5.575670363283684

6.808e-07 5.57609182133867

6.992e-07 5.595909220135724

7.176e-07 5.620355860619504

7.36e-07 5.668791758390848

7.544e-07 5.717997901363728

7.728e-07 5.77696286988241

7.912e-07 5.80626385897162

8.096e-07 5.803817709060132

8.28e-07 5.772027373462465

8.464e-07 5.73274803213956

8.648e-07 5.706951900971307

8.832e-07 5.716213781866456

9.016e-07 5.744266706900019

9.2e-07 5.7727463134975885

9.384e-07 5.803326632199845

9.568e-07 5.812443548112961

9.752e-07 5.77540474772115

9.936e-07 5.722543140947038

1.012e-06 5.6608656581833845

1.0304e-06 5.596793724982188

1.0488e-06 5.531672441495429

1.0672e-06 5.509355679206054

1.0856e-06 5.508684053383348

1.104e-06 5.55436765077718

1.1224e-06 5.627503887159919

1.1408e-06 5.706119522056999

1.1592e-06 5.758003126084597

1.1776e-06 5.780726597928672

1.196e-06 5.7717588307204934

1.2144e-06 5.745659231106559

1.2328e-06 5.700429808356559

1.2512e-06 5.661342596946417

1.2696e-06 5.648504226784291

1.288e-06 5.672962189191816

1.3064e-06 5.708791465800796

1.3248e-06 5.751060771718553

1.3432e-06 5.775543264490364

1.3616e-06 5.7893609319164065

1.38e-06 5.788186244411975

1.3984e-06 5.787348270149292

1.4168e-06 5.761301936194632

1.4352e-06 5.748573736154038

1.4536e-06 5.7464075734322915

1.472e-06 5.7707365214502735

